image_name;angle_magnitude_norm
figura5_frame_0.png;0,089042
figura5_frame_1.png;0,107978
figura5_frame_2.png;0,090033
figura5_frame_3.png;0,076063
figura5_frame_4.png;0,059020
figura5_frame_5.png;0,040801
figura5_frame_6.png;-0,007598
figura5_frame_7.png;-0,030426
figura5_frame_8.png;-0,047170
figura5_frame_9.png;-0,078206
figura5_frame_10.png;-0,137185
figura5_frame_11.png;-0,198720
figura5_frame_12.png;-0,300370
figura5_frame_13.png;-0,402504
figura5_frame_14.png;-0,492367
figura5_frame_15.png;-0,543412
figura5_frame_16.png;-0,557477
figura5_frame_17.png;-0,600169
figura5_frame_18.png;-0,677740
figura5_frame_19.png;-0,781135
figura5_frame_20.png;-0,885510
figura5_frame_21.png;-0,935947
figura5_frame_22.png;-0,966424
figura5_frame_23.png;-0,988889
figura5_frame_24.png;-1,000000
figura5_frame_25.png;-0,995179
figura5_frame_26.png;-0,986232
figura5_frame_27.png;-0,986530
figura5_frame_28.png;-0,954268
figura5_frame_29.png;-0,929300
figura5_frame_30.png;-0,885759
figura5_frame_31.png;-0,825582
figura5_frame_32.png;-0,763617
figura5_frame_33.png;-0,681195
figura5_frame_34.png;-0,571474
figura5_frame_35.png;-0,529370
figura5_frame_36.png;-0,484492
figura5_frame_37.png;-0,414920
figura5_frame_38.png;-0,321326
figura5_frame_39.png;-0,208126
figura5_frame_40.png;-0,063968
figura5_frame_41.png;-0,041282
figura5_frame_42.png;-0,022552
figura5_frame_43.png;0,039860
figura5_frame_44.png;0,121433
figura5_frame_45.png;0,179838
figura5_frame_46.png;0,232100
figura5_frame_47.png;0,178822
figura5_frame_48.png;0,027594
figura5_frame_49.png;-0,195054
figura5_frame_50.png;-0,381658
figura5_frame_51.png;-0,608931
figura5_frame_52.png;-0,814816
figura5_frame_53.png;-0,886850
figura5_frame_54.png;-0,900462
figura5_frame_55.png;-0,867679
figura5_frame_56.png;-0,795477
figura5_frame_57.png;-0,749660
figura5_frame_58.png;-0,625474
figura5_frame_59.png;-0,504733
figura5_frame_60.png;-0,400630
figura5_frame_61.png;-0,300096
figura5_frame_62.png;-0,224753
figura5_frame_63.png;-0,157443
figura5_frame_64.png;-0,104341
figura5_frame_65.png;0,004918
figura5_frame_66.png;0,109861
figura5_frame_67.png;0,267445
figura5_frame_68.png;0,384284
figura5_frame_69.png;0,524648
figura5_frame_70.png;0,629456
figura5_frame_71.png;0,698291
figura5_frame_72.png;0,644455
figura5_frame_73.png;0,699713
figura5_frame_74.png;0,689193
figura5_frame_75.png;0,649892
figura5_frame_76.png;0,630331
figura5_frame_77.png;0,583588
figura5_frame_78.png;0,491061
figura5_frame_79.png;0,375959
figura5_frame_80.png;0,147438
figura5_frame_81.png;-0,021854
figura5_frame_82.png;-0,165154
figura5_frame_83.png;-0,280812
figura5_frame_84.png;-0,336190
figura5_frame_85.png;-0,392933
figura5_frame_86.png;-0,418174
figura5_frame_87.png;-0,437368
figura5_frame_88.png;-0,469025
figura5_frame_89.png;-0,467197
figura5_frame_90.png;-0,452158
figura5_frame_91.png;-0,416199
figura5_frame_92.png;-0,325940
figura5_frame_93.png;-0,229912
figura5_frame_94.png;-0,125117
figura5_frame_95.png;-0,057925
figura5_frame_96.png;-0,007061
figura5_frame_97.png;0,041171
figura5_frame_98.png;0,121117
figura5_frame_99.png;0,160223
figura5_frame_100.png;0,198937
figura5_frame_101.png;0,241195
figura5_frame_102.png;0,289494
figura5_frame_103.png;0,324678
figura5_frame_104.png;0,352629
figura5_frame_105.png;0,389769
figura5_frame_106.png;0,410815
figura5_frame_107.png;0,475632
figura5_frame_108.png;0,519238
figura5_frame_109.png;0,575472
figura5_frame_110.png;0,608744
figura5_frame_111.png;0,641511
figura5_frame_112.png;0,643854
figura5_frame_113.png;0,661619
figura5_frame_114.png;0,691181
figura5_frame_115.png;0,730129
figura5_frame_116.png;0,767413
figura5_frame_117.png;0,801903
figura5_frame_118.png;0,841711
figura5_frame_119.png;0,894558
figura5_frame_120.png;0,913131
figura5_frame_121.png;0,881996
figura5_frame_122.png;0,838711
figura5_frame_123.png;0,776935
figura5_frame_124.png;0,752310
figura5_frame_125.png;0,720575
figura5_frame_126.png;0,682734
figura5_frame_127.png;0,621975
figura5_frame_128.png;0,569196
figura5_frame_129.png;0,461433
figura5_frame_130.png;0,344769
figura5_frame_131.png;0,201489
figura5_frame_132.png;0,077150
figura5_frame_133.png;-0,007207
figura5_frame_134.png;-0,052164
figura5_frame_135.png;-0,074454
figura5_frame_136.png;-0,048254
figura5_frame_137.png;-0,005327
figura5_frame_138.png;0,087513
figura5_frame_139.png;0,171845
figura5_frame_140.png;0,227427
figura5_frame_141.png;0,353607
figura5_frame_142.png;0,410932
figura5_frame_143.png;0,496261
figura5_frame_144.png;0,540038
figura5_frame_145.png;0,659001
figura5_frame_146.png;0,704043
figura5_frame_147.png;0,782395
figura5_frame_148.png;0,821888
figura5_frame_149.png;0,881664
figura5_frame_150.png;0,907516
figura5_frame_151.png;0,888711
figura5_frame_152.png;0,885031
figura5_frame_153.png;0,890674
figura5_frame_154.png;0,911641
figura5_frame_155.png;0,914118
figura5_frame_156.png;0,904940
figura5_frame_157.png;0,901960
figura5_frame_158.png;0,889189
figura5_frame_159.png;0,875535
figura5_frame_160.png;0,881246
figura5_frame_161.png;0,871072
figura5_frame_162.png;0,847359
figura5_frame_163.png;0,809516
figura5_frame_164.png;0,792252
figura5_frame_165.png;0,677145
figura5_frame_166.png;0,625166
figura5_frame_167.png;0,529035
figura5_frame_168.png;0,449349
figura5_frame_169.png;0,311792
figura5_frame_170.png;0,157597
figura5_frame_171.png;0,023113
figura5_frame_172.png;-0,105701
figura5_frame_173.png;-0,159284
figura5_frame_174.png;-0,180084
figura5_frame_175.png;-0,158882
figura5_frame_176.png;-0,153317
figura5_frame_177.png;-0,133985
figura6_frame_0.png;-0,010270
figura6_frame_1.png;-0,038620
figura6_frame_2.png;-0,048435
figura6_frame_3.png;-0,045941
figura6_frame_4.png;-0,063695
figura6_frame_5.png;-0,068120
figura6_frame_6.png;-0,073311
figura6_frame_7.png;-0,098500
figura6_frame_8.png;-0,059293
figura6_frame_9.png;-0,055594
figura6_frame_10.png;-0,036702
figura6_frame_11.png;0,006581
figura6_frame_12.png;0,011314
figura6_frame_13.png;0,028415
figura6_frame_14.png;0,029096
